created_at,name,uid,url,id,description,category,from,color
2024-06-23T21:42:12.789Z,Clear,fk@fkodama.com,https://login.clear.com.br/,34d1d049-08b5-42bb-af1d-0f559eb59c01,Brazilian Home Broker,Exchange,clear,Blue
2024-07-14T15:56:50.305Z,Crypto Alerts,fk@fkodama.com,https://cryptocurrencyalerting.com/,9d6bce2f-1c2d-4893-91c4-d02d11798aa2,"Setup alerts for events (email, sms, slack...)",Platform,Crypto Currency Alerts,Red
2024-07-15T11:50:09.900Z,The power trend,fk@fkodama.com,https://www.porkopolis.io/thechart/,b76d55cf-f846-4e3a-8f85-fd1d2d92d91b,Estimations of BTC trend,Miscellaneous,The power trend,Black
2024-07-22T20:31:16.920Z,CVD,fk@fkodama.com,https://www.youtube.com/watch?v=17HXqyWrfsk&list=WL&index=42&t=297s,65e2e79a-48a4-4f93-903f-c660b246095a,Explanation,Video,Vini Lang,Red
2024-02-25T17:09:55.875Z,Bybit,fk@fkodama.com,https://www.bybit.com/user/assets/deposit,e3c17c7c-7be1-4405-b195-98561d9db17c,Exchange for Trades,Exchange,bybit,Orange
2024-07-22T20:32:08.845Z,CVD,fk@fkodama.com,https://www.youtube.com/watch?v=Y5uXK20gbK8&list=WL&index=43&t=57s,1ed76f23-07d5-4190-8e3f-dbe36b087cc2,Explanation,Video,Matheus Kelvin,Red
2026-02-24T01:38:04.817Z,"Bitcoin Explanation ",fk@fkodama.com,https://x.com/saylor/status/1786829271081582724?s=48&t=GnThtX30AAy18ce6bbADhQ,9d3a505e-9cbb-4014-a9ce-d399c2992bda,What's Bitcoin?,Friend,X,Orange
2024-06-19T02:06:31.432Z,The Puell Multiple,fk@fkodama.com,https://www.lookintobitcoin.com/charts/puell-multiple/,1961d7ce-e5e2-4ebb-87a7-fbca664d2c25,Market cycles from a mining revenue perspective,Analysis,look into bitcoin,Black
2024-02-25T21:09:47.498Z,TRDR,fk@fkodama.com,https://trdr.io/console,1b92da54-d11a-462e-a65d-244ced91d605,"Real-time financial charting and market analysis.




",Platform,trdr,Green
2024-07-22T20:32:45.901Z,Hedge,fk@fkodama.com,https://www.youtube.com/watch?v=P5L-7-kQztw&list=WL&index=23,ea39076e-281a-4a3b-9c69-95c9ae4c5372,Explanation,Video,Vini Lang,Red
2024-07-23T17:44:52.905Z,CVD,fk@fkodama.com,https://www.youtube.com/watch?v=0U0sHmTe1CI&list=WL&index=29&t=99s,4e9d3a24-e0de-4788-97d1-6f30ed60708c,Explanation,Video," Koenz Trading",Red
2024-08-22T21:51:15.270Z,Market Cap Of,fk@fkodama.com,https://marketcapof.com/,34b77225-1f43-4c1d-8571-4c7a395096f8,Show the price of A with the market cap of B,Analysis,marketcapof,Black
2024-09-18T12:38:22.795Z,News Events,fk@fkodama.com,https://tradingeconomics.com/calendar,40c4d017-38cd-43d4-b849-e215a948df42,Economy News Events,Analysis,Trading Economics,Blue
2024-09-18T12:40:44.978Z,Elliott Fibonacci,fk@fkodama.com,https://elitecurrensea.com/education/elliott-wave-patterns-fibonacci-relationships-core-reference-guide/,89056db8-05a3-41f8-b4b6-670900700e57,Elliott Wave Fibonacci Relationships,Knowledge,CurrenSea,Blue
2024-09-18T12:46:55.058Z,Koenz Live Chart,fk@fkodama.com,https://www.tradingview.com/chart/W3nhO0Hh/,5c9c0c7a-b18f-4142-8c84-3caa09f9310c,Koenz Live Chart,Knowledge,Koenz Trading,Blue
2024-02-25T20:51:09.506Z,"DeFiLlama ",fk@fkodama.com,https://defillama.com/,1f34c015-cbb1-45c4-80f1-2c233bba2f74,DeFi dashboard: analyzes data across blockchain platforms,Platform,defillama,Pink
2024-02-25T21:16:28.050Z,Binance,fk@fkodama.com,https://accounts.binance.com/en/login?loginChannel=&return_to=aHR0cHM6Ly93d3cuYmluYW5jZS5jb20vZW4vbXkvZGFzaGJvYXJk,946010f7-85e7-459d-943b-4859ff249517,Exchange,Miscellaneous,binance,Orange
2024-06-23T23:05:04.931Z,CoinGlass | L/S Ratio,fk@fkodama.com,https://www.coinglass.com/LongShortRatio,97e6fbc1-404f-4925-8913-d73b48d4e5ab,BTC L/S Ratio,Indicator,coinglass,Black
2024-06-19T02:07:09.626Z,Gate.io,fk@fkodama.com,https://gate.io/,c7c98a4a-df7e-40f6-8524-6536de43a233,Gemas Exchange,Exchange,gate.io,Blue
2024-02-25T21:02:33.333Z,Binance | L/S Ratio,fk@fkodama.com,https://www.binance.com/en/futures/funding-history/perpetual/trading-data,d29db060-e96e-4886-a9e6-f56567905262,BTC L/S Ratio,Indicator,binance,Orange
2024-06-19T02:06:21.923Z,Stock-to-Flow Model,fk@fkodama.com,https://www.lookintobitcoin.com/charts/stock-to-flow-model/,edb8251c-8767-4479-8395-096a89612659,Stock-to-Flow Model Chart,Analysis,look into bitcoin,Black
2024-10-09T20:42:03.083Z,Coin,fk.ca@fkodama.com,https://coinmarketcap.com/,d554bcae-8800-4597-b8a1-05799ce52d34,al;skdj;laskd;lask,Exchange,https://coinmarketcap.com/,Red
2024-10-23T00:07:46.581Z,test,danilosky1974@gmail.com,http://localhost:3000/in/shortcut,5f32356a-3bb7-40bc-94c2-636b4009241a,black,Knowledge,aasd,Green
2024-10-23T00:21:49.586Z,Coinalalyse,danilosky1974@gmail.com,https://images.unsplash.com/photo-1727887746394-8b5c23c98b40?q=80&w=3187&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4aeac264-06ab-4c53-a9fe-d0c35a951618,Easy Way to Remember Notes on the Fretboard,Knowledge,Coinalalyse,Blue
2024-10-23T00:22:18.973Z,TRDR,danilosky1974@gmail.com,http://localhost:3000/in/shortcut,de388912-7126-4727-beb3-537ad458514d,Easy Way to Remember Notes on the Fretboard,Knowledge,Investing,Pink
